#       BSFG          |   BSFG with ED   |       CT
# 1 2 3  4   5    6    7   8     9    10   11  12   13   14   15
Z A El a   da   E1  dE1 atil datil  E2  dE2  T    dT   E0   dE0
9 18 F 2.68 47 -1.28 174  2.88 53  -1.49 182  2.33 43  -2.37 186 
9 19 F 2.26 36 -2.52 199  2.13 32  -2.25 189  2.84 50  -3.57 223 
9 20 F 2.86 34 -2.16 133  2.65 30  -1.98 128  2.23 45  -3.49 206 
10 20 Ne  2.24 26  1.46 165  2.31 28  1.32 167  2.94 33  0.29 158 
11 23 Na  3.11 40  0.46 130  3.09 39  0.47 129  2.19 28 -1.03 135 
11 24 Na  2.99 31 -2.41 110  2.88 29  -2.30 108  2.20 62  -3.40 277 
12 24 Mg  3.04 47  3.71 151  3.35 51  3.80 140  2.37 30  1.75 134 
12 25 Mg  3.23 37  0.39 108  3.28 37  0.37 108  2.24 32 -1.47 145 
12 26 Mg  3.32 39  1.37 103  3.28 38  1.40 103  2.05 28  0.20 129 
12 27 Mg  4.58 45  1.61 68  4.42 43  1.63 68  1.46 21  0.33 94 
13 26 Al  2.90 28 -2.91 120  3.16 34  -3.34 131  2.43 23  -4.38 133 
13 27 Al  3.02 44 -0.57 144  3.16 46  -0.75 147  2.19 33  -1.29 148 
13 28 Al  3.60 22 -1.31 70  3.67 22  -1.37 71  1.98 19  -2.69 108 
14 28 Si  3.43 55  4.38 115  4.14 69  4.30 124  2.04 24  3.12 105 
14 29 Si  3.87 46  2.30 87  4.37 58  1.97 100  2.16 27 -0.48 131 
14 30 Si  2.73 29 -0.62 152  2.87 31  -0.71 148  2.49 34  -1.05 167 
15 30 P 3.21 32 -1.31 110  3.74 43  -1.86 126  2.14 25  -2.17 124 
15 31 P 3.58 66  0.47 149  4.01 76  0.24 155  1.84 33 -0.12 139 
15 32 P 3.75 29 -1.21 74  3.95 31  -1.34 76  2.00 35  -2.79 167 
16 32 S 3.39 63  1.65 17  3.95 80  1.34 183  1.97 34  1.06 142 
16 33 S 4.01 26  0.25 62  4.36 29  0.11 64  1.75 24 -0.56 112 
16 34 S 3.94 32  1.32 73  4.09 34  1.22 75  1.84 25  0.30 114 
16 35 S 4.50 55  0.12 93  4.43 54  0.14 93  1.50 25 -0.52 114 
17 36 Cl  4.19 30 -1.06 74  4.28 31  -1.11 75  1.85 29  -2.61 151 
17 38 Cl  6.14 57 -0.09 70  5.61 52  -0.04 69  1.17 15  -1.01 87 
18 38 Ar  4.21 59  1.36 107  4.21 59  1.35 107  1.51 18  1.30 80 
18 40 Ar  4.72 81  0.54 110  4.18 69  0.65 104  1.35 22  0.43 92 
18 41 Ar  5.78 53 -0.27 75  4.95 44  -0.02 72  1.32 18  -1.54 102 
19 40 K 4.73 23 -1.54 58  4.60 22  -1.47 57  1.66 22  -2.93 131 
19 41 K 5.61 11 -0.13 26  5.10 9  0.05 24  1.43 8  -1.64 60 
19 42 K 4.40 37 -3.03 85  3.94 31  -2.79 79  1.85 26  -4.58 147 
20 40 Ca  5.27 74  3.61 87  5.29 88  2.88 112  1.45 20  2.28 89 
